Front,Back,Category
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Welcome to our hotel. Do you have a reservation?,ようこそ。当ホテルのご予約はございますか？,Check-in
"May I have your passport, please?",パスポートを拝見できますか？,Check-in
Please fill out this registration form.,こちらの宿泊カードにご記入をお願いします。,Check-in
Check-in time is from 3 PM.,チェックインは午後3時からです。,Check-in
How many nights will you be staying?,何泊のご予定ですか？,Check-in
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
"May I have your room key, please?",お部屋の鍵をお預かりできますか？,Check-out
Would you like to pay by cash or credit card?,お支払いは現金ですか、カードですか？,Check-out
Here is your receipt.,こちらが領収書です。,Check-out
Check-out is until 11 AM.,チェックアウトは午前11時までです。,Check-out
Did you enjoy your stay?,ご滞在はいかがでしたか？,Check-out
